lon,lat,pop
6.720268759,0.327385365,2514
6.72148,0.25594,5
6.723140169,0.356897079,1881
6.726015749,0.215539409,1548
6.72536776,0.322765213,3316
6.72588,0.26745,8
6.72651,0.24118,14
6.726613644,0.234499476,187
6.739973837,0.315614107,16920
6.732351902,0.222008935,25
6.7331,0.25031,58
6.739524433,0.2594854,4213
6.735824028,0.241567769,2018
6.74489027,0.300961639,6713
6.739368139,0.325302184,1372
6.743873558,0.267591655,663
6.74403,0.27838,192
6.744046962,0.243801158,466
6.74511,0.2957,412
6.749871716,0.288304287,6
